fixture_name,execution_time,memory_usage(mo)
set_rnd_seed_before_test,0.001,0.000
results,0.000,0.000
single_result,0.000,0.000
set_rnd_seed_before_test,0.002,0.000
results,0.001,0.000
single_result,0.000,0.000
set_rnd_seed_before_test,0.003,0.000
results,0.001,0.000
single_result,0.000,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_data,0.015,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_data,0.014,0.000
german_credit_model,0.016,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_data,0.032,0.000
german_credit_model,0.025,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_data,0.017,0.000
german_credit_model,0.013,0.000
set_rnd_seed_before_test,0.001,0.000
diabetes_dataset,0.008,0.000
diabetes_dataset_with_target,0.008,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
model,0.000,0.000
german_credit_data,0.013,0.000
german_credit_model,0.011,0.199
_session_faker,0.024,0.000
event_loop_policy,0.000,0.000
set_rnd_seed_before_test,0.003,0.000
set_rnd_seed_before_test,0.002,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.002,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.002,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.002,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.002,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.002,0.000
cf,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.003,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.002,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
cf,0.000,0.000
diabetes_raw_dataset,0.008,0.000
linear_regression_diabetes_raw,0.007,0.000
set_rnd_seed_before_test,0.002,0.000
linear_regression_diabetes,0.011,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
german_credit_raw_data,0.006,0.000
german_credit_data,0.013,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
enron_raw_data,0.008,0.000
enron_data,0.008,0.363
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
max_categories,0.000,0.000
german_credit_data,0.015,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
max_categories,0.000,0.000
enron_data,0.006,0.258
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
german_credit_data,0.014,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
enron_data,0.006,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
max_categories,0.000,0.000
german_credit_data,0.014,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
max_categories,0.000,0.000
enron_data,0.006,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
german_credit_data,0.013,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
enron_data,0.006,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
german_credit_data,0.012,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
enron_data,0.006,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
german_credit_data,0.012,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
german_credit_data,0.012,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
column_name,0.000,0.000
enron_data,0.006,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
model,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
german_credit_data,0.012,0.000
german_credit_raw_model,0.061,24.316
german_credit_model,0.025,0.000
set_rnd_seed_before_test,0.003,0.000
data,0.000,0.000
model,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
enron_data,0.022,0.000
enron_raw_model,0.810,7.828
enron_model,0.010,0.000
set_rnd_seed_before_test,0.001,0.000
data,0.000,0.000
model,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
german_credit_data,0.018,0.000
german_credit_model,0.011,0.000
_session_faker,0.031,0.773
event_loop_policy,0.000,0.000
set_rnd_seed_before_test,0.002,0.570
set_rnd_seed_before_test,0.002,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
Detector,0.000,0.000
issue_match,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
Detector,0.000,0.000
issue_match,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
Detector,0.000,0.000
issue_match,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
Detector,0.000,0.000
issue_match,0.000,0.000
enron_raw_data,0.005,1.742
enron_raw_model,0.315,11.352
set_rnd_seed_before_test,0.001,0.000
enron_data,0.008,0.000
enron_model,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
enron_data,0.007,0.000
enron_model,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.010,0.000
enron_data,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.007,0.000
enron_data,0.005,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.007,0.000
enron_data,0.004,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_raw_data,0.004,0.789
german_credit_raw_model,0.082,22.254
set_rnd_seed_before_test,0.001,0.000
german_credit_model,0.017,0.000
german_credit_data,0.022,0.000
caplog,0.000,0.000
set_rnd_seed_before_test,0.003,0.000
german_credit_model,0.017,0.000
german_credit_data,0.017,0.258
set_rnd_seed_before_test,0.001,0.000
german_credit_model,0.010,0.000
german_credit_data,0.013,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.009,0.000
enron_data,0.005,0.000
titanic_model_data_raw,0.043,0.473
set_rnd_seed_before_test,0.001,0.000
titanic_model,1.717,332.316
titanic_dataset,0.010,0.000
set_rnd_seed_before_test,0.001,0.000
diabetes_raw_dataset,0.007,0.000
linear_regression_diabetes_raw,0.005,0.426
set_rnd_seed_before_test,0.001,0.000
linear_regression_diabetes,0.007,0.000
diabetes_dataset_with_target,0.006,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
german_credit_data,0.015,0.000
german_credit_model,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
breast_cancer_raw_data,0.009,0.000
breast_cancer_data,0.009,0.000
breast_cancer_row_model,0.226,9.570
breast_cancer_model,0.008,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
drug_classification_raw_data,0.093,0.012
drug_classification_data,0.007,0.000
drug_classification_raw_model,0.059,-1.281
drug_classification_model,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
diabetes_dataset_with_target,0.009,0.000
linear_regression_diabetes,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
hotel_text_raw_data,8.742,1.508
hotel_text_data,0.004,0.000
hotel_text_raw_model,0.026,0.258
hotel_text_model,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
enron_raw_data_full,4.555,11.410
enron_data_full,0.012,0.000
enron_model,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
medical_transcript_raw_data,0.118,11.160
medical_transcript_data,0.005,0.000
medical_transcript_raw_model,0.047,0.000
medical_transcript_model,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
amazon_review_raw_data,15.965,7.621
amazon_review_data,0.005,0.000
amazon_review_raw_model,0.313,0.578
amazon_review_model,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_data,0.012,0.000
german_credit_model,0.021,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_data,0.013,0.000
german_credit_model,0.008,0.000
set_rnd_seed_before_test,0.002,0.000
titanic_model,0.022,0.000
titanic_dataset,0.019,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_model,0.010,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_model,0.011,0.258
german_credit_data,0.012,0.000
set_rnd_seed_before_test,0.005,0.000
titanic_model,0.011,0.000
titanic_dataset,0.010,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_model,0.014,0.000
titanic_dataset,0.010,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_model,0.027,0.000
titanic_dataset,0.012,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
slicer_cls,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.002,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_dataset,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_model,0.010,0.000
titanic_dataset,0.008,0.000
set_rnd_seed_before_test,0.001,0.000
method,0.000,0.000
expected_name,0.000,0.000
expected_value,0.000,0.000
titanic_dataset,0.011,0.000
titanic_model,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
method,0.000,0.000
expected_name,0.000,0.000
expected_value,0.000,0.000
titanic_dataset,0.014,0.000
titanic_model,0.011,0.000
set_rnd_seed_before_test,0.001,0.000
method,0.000,0.000
expected_name,0.000,0.000
expected_value,0.000,0.000
titanic_dataset,0.010,0.000
titanic_model,0.010,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_model,0.011,0.000
titanic_dataset,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
enron_data,0.004,0.000
enron_model,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_data,0.009,0.000
german_credit_model,0.006,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_model,0.024,0.000
titanic_dataset,0.024,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
_session_faker,0.049,1.031
event_loop_policy,0.000,0.000
set_rnd_seed_before_test,0.005,0.316
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
Detector,0.000,0.000
issue_match,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
Detector,0.000,0.000
issue_match,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
Detector,0.000,0.000
issue_match,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
Detector,0.000,0.000
issue_match,0.000,0.000
enron_raw_data,0.010,0.004
enron_raw_model,0.627,10.602
set_rnd_seed_before_test,0.001,0.000
enron_data,0.006,0.000
enron_model,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
enron_data,0.006,0.000
enron_model,0.010,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.007,0.000
enron_data,0.004,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.007,0.000
enron_data,0.005,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.007,0.000
enron_data,0.004,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_raw_data,0.010,5.281
german_credit_raw_model,0.083,24.254
set_rnd_seed_before_test,0.001,0.000
german_credit_model,0.016,0.000
german_credit_data,0.022,0.258
caplog,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_model,0.016,0.000
german_credit_data,0.022,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_model,0.011,0.000
german_credit_data,0.012,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.008,0.000
enron_data,0.004,0.000
titanic_model_data_raw,0.047,0.730
set_rnd_seed_before_test,0.001,0.000
titanic_model,4.658,329.254
titanic_dataset,0.012,0.000
set_rnd_seed_before_test,0.001,0.000
diabetes_raw_dataset,0.010,0.000
linear_regression_diabetes_raw,0.012,0.348
set_rnd_seed_before_test,0.001,0.000
linear_regression_diabetes,0.008,0.000
diabetes_dataset_with_target,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.001,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
german_credit_data,0.012,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
breast_cancer_raw_data,0.012,0.258
breast_cancer_data,0.010,0.000
breast_cancer_row_model,0.562,9.633
breast_cancer_model,0.010,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
drug_classification_raw_data,0.006,0.000
drug_classification_data,0.007,0.000
drug_classification_raw_model,0.069,0.910
drug_classification_model,0.006,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
diabetes_dataset_with_target,0.008,0.000
linear_regression_diabetes,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
hotel_text_raw_data,0.013,1.031
hotel_text_data,0.004,0.000
hotel_text_raw_model,0.033,0.258
hotel_text_model,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
enron_raw_data_full,2.542,10.871
enron_data_full,0.024,0.000
enron_model,0.011,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
medical_transcript_raw_data,0.180,7.688
medical_transcript_data,0.007,0.000
medical_transcript_raw_model,0.053,0.000
medical_transcript_model,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
amazon_review_raw_data,0.074,7.668
amazon_review_data,0.007,0.000
amazon_review_raw_model,0.343,0.586
amazon_review_model,0.008,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_data,0.013,0.000
german_credit_model,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_data,0.012,0.000
german_credit_model,0.008,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_model,0.027,0.000
titanic_dataset,0.016,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.002,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_model,0.009,0.258
german_credit_data,0.013,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_model,0.012,0.000
titanic_dataset,0.011,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_model,0.013,0.000
titanic_dataset,0.011,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_model,0.009,0.000
titanic_dataset,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
slicer_cls,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_dataset,0.008,0.000
set_rnd_seed_before_test,0.001,0.000
titanic_model,0.010,0.000
titanic_dataset,0.009,0.000
_session_faker,0.040,0.516
event_loop_policy,0.000,0.000
enron_raw_data,0.016,2.047
enron_raw_model,0.514,12.828
set_rnd_seed_before_test,0.017,0.250
enron_data,0.009,0.000
enron_model,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
enron_data,0.007,0.000
enron_model,0.010,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.007,0.000
enron_data,0.004,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.007,0.000
enron_data,0.004,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.007,0.000
enron_data,0.004,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_raw_data,0.009,0.605
german_credit_raw_model,0.138,25.082
set_rnd_seed_before_test,0.002,0.000
german_credit_model,0.018,0.000
german_credit_data,0.028,0.000
caplog,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_model,0.023,0.000
german_credit_data,0.011,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_model,0.008,0.000
german_credit_data,0.009,0.000
set_rnd_seed_before_test,0.001,0.000
enron_model,0.010,0.000
enron_data,0.006,0.000
titanic_model_data_raw,0.044,0.594
set_rnd_seed_before_test,0.001,0.000
titanic_model,4.323,329.348
titanic_dataset,0.009,0.258
set_rnd_seed_before_test,0.001,0.000
diabetes_raw_dataset,0.009,0.000
linear_regression_diabetes_raw,0.013,0.418
set_rnd_seed_before_test,0.001,0.000
linear_regression_diabetes,0.008,0.000
diabetes_dataset_with_target,0.006,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
num_classes,0.000,0.000
metric,0.000,0.000
reference_metric,0.000,0.000
reference_kwargs,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
german_credit_data,0.014,0.000
german_credit_model,0.008,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
breast_cancer_raw_data,0.013,0.000
breast_cancer_data,0.012,0.000
breast_cancer_row_model,0.329,9.543
breast_cancer_model,0.011,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
drug_classification_raw_data,0.009,0.000
drug_classification_data,0.009,0.000
drug_classification_raw_model,0.088,0.672
drug_classification_model,0.013,0.008
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
diabetes_dataset_with_target,0.011,0.000
linear_regression_diabetes,0.013,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
hotel_text_raw_data,0.022,1.465
hotel_text_data,0.005,0.000
hotel_text_raw_model,0.031,0.258
hotel_text_model,0.008,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
enron_raw_data_full,2.363,10.617
enron_data_full,0.013,0.000
enron_model,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
medical_transcript_raw_data,0.217,8.945
medical_transcript_data,0.004,0.000
medical_transcript_raw_model,0.048,0.000
medical_transcript_model,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
dataset_name,0.000,0.000
model_name,0.000,0.000
amazon_review_raw_data,0.102,7.785
amazon_review_data,0.007,0.000
amazon_review_raw_model,0.365,0.867
amazon_review_model,0.008,0.000
